No ,Date & Year,Opponent,Venue,Result,Man of the match
189,07-Oct-21,Kings Xl Punjab,Dubai,Lost by 6 wickets,K L Rahul
190,10-Oct-21,Delhi Capitals,Dubai,Won by 4 wickets ,Gaikwad
191,15-Oct-21,Kolkata Knight Riders,Dubai,Won by 27 runs,Faf
192,26-Mar-22,Kolkata Knight Riders,Mumbai,Lost by 6 wickets,Umesh 
193,31-Mar-22,Lucknow Super Giants,Mumbai,Lost by 6 wickets,Lewis
194,03-Apr-22,Kings Xl Punjab,Mumbai,Lost by 54 runs,Livingstone
195,09-Apr-22,Sunrises Hyderabad,Mumbai,Lost by 8 wickets,Abishek
196,12-Apr-22,Royal Challangers Bangalore,Mumbai,Won by 23 runs ,Dube
197,17-Apr-22,Gujarat Titans,Pune,Lost by 3 wickets,Miller
198,21-Apr-22,Mumbai Indians ,Mumbai,Won by 3 wickets,Mukesh
199,25-Apr-22,Kings Xl Punjab,Mumbai,Lost by 11 runs,Dhawan
200,01-May-22,Sunrises Hyderabad,Pune,Won by 13 runs ,Gaikwad
201,04-May-22,Royal Challangers Bangalore,Pune,Lost by 13 runs,Harshal Patel
202,08-May-22,Delhi Capitals,Mumbai,Won by 91 runs,Conway
203,12-May-22,Mumbai Indians ,Mumbai,Lost by 5 wickets ,Daniel Sams
204,15-May-22,Gujarat Titans,Mumbai,Lost by 7 wickets ,Saha
205,20-May-22,Rajasthan Royals ,Mumbai,Lost by 5 wickets ,Ashwin
206,31-Mar-23,Gujarat Titans,Gujarat,Lost by 5 wickets ,Rashid Khan
207,03-Apr-23,Lucknow Super Giants,Chennai ,Won by 12 runs ,Moeen Ali
208,08-Apr-23,Mumbai Indians ,Mumbai,Won by 7 wickets,Jadeja
209,12-Apr-23,Rajasthan Royals ,Chennai ,Lost by 3 runs,Ashwin
210,17-Apr-23,Royal Challangers Bangalore,Bangalore,Won by 8 runs,Conway
211,21-Apr-23,Sunrises Hyderabad,Chennai ,Won by 7 wickets,Jadeja
212,23-Apr-23,Kolkata Knight Riders,Kolkata,Won by 49 runs,Rahane
213,27-Apr-23,Rajasthan Royals ,Jaipur,Lost by 32 runs,Jaiswal
214,30-Apr-23,Kings Xl Punjab,Chennai ,Lost by 4 wickets,Conway
215,03-May-23,Lucknow Super Giants,Lucknow,Match abandoned,Match abandoned
216,06-May-23,Mumbai Indians ,Chennai ,Won by 6 wickets,Pathirana
217,10-May-23,Delhi Capitals,Chennai ,Won by 27 runs,Jadeja
218,14-May-23,Kolkata Knight Riders,Chennai ,Lost by 6 wickets,Rinku
219,20-May-23,Delhi Capitals,Chennai ,Won by 77 runs,Gaikwad
220,23-May-23,Gujarat Titans,Chennai ,Won by 15 runs,Gaikwad
221,29-May-23,Gujarat Titans,Gujarat,Won by 5 wickets,Conway
